from,to,weight
0,49,5
1,11,10
4,10,5
22,4,10
5,22,5
14,6,10
13,6,10
12,6,10
8,10,5
26,9,10
10,50,5
11,4,5
11,17,5
11,32,5
11,14,5
11,2,5
12,14,10
12,13,10
13,14,10
15,24,5
17,14,5
17,6,5
17,2,5
17,19,5
17,32,5
17,7,5
17,3,5
18,50,5
18,49,5
18,47,10
18,25,5
18,39,5
18,30,5
18,13,5
18,35,10
18,32,10
19,10,5
19,24,5
19,51,5
19,28,10
19,39,5
19,14,5
19,1,5
19,57,10
19,4,5
19,3,5
19,2,5
19,22,5
22,29,10
27,3,5
28,14,5
28,1,5
28,18,5
28,3,5
28,34,10
28,7,5
28,15,5
28,17,5
28,2,5
28,32,5
28,9,5
28,12,5
28,6,5
28,24,5
29,35,5
29,4,5
29,3,5
29,32,5
30,49,10
30,50,10
31,38,10
32,35,10
32,14,5
32,19,5
33,53,10
33,36,10
33,3,5
33,4,5
33,63,5
33,57,10
33,34,5
33,10,5
33,15,5
33,11,5
33,32,5
33,2,5
33,17,5
33,19,5
33,6,5
33,12,5
33,28,5
33,9,5
33,24,5
34,9,5
34,24,5
34,3,5
34,32,5
34,12,5
34,6,5
34,22,5
35,25,5
35,13,5
35,47,10
35,41,10
38,55,10
38,20,5
38,42,10
38,19,5
39,6,5
40,59,10
41,47,10
41,13,5
41,25,5
41,39,5
45,30,5
45,4,5
47,49,5
47,17,5
47,19,5
47,2,5
47,12,5
47,14,5
47,21,5
47,25,5
47,50,5
47,6,5
47,3,5
47,32,5
47,13,5
48,52,10
49,50,10
50,35,5
51,3,5
51,4,5
51,22,5
51,9,5
52,11,5
52,29,5
56,59,10
56,18,5
57,24,5
58,12,5
58,6,5
58,2,5
58,32,5
58,26,5
58,10,5
58,34,5
58,17,5
58,24,5
58,19,5
58,11,5
58,28,5
58,15,5
59,25,5
59,5,5
59,4,5
59,28,5
59,24,5
59,9,5
60,54,5
60,66,10
60,10,5
60,4,5
61,33,5
61,60,5
61,63,5
61,53,5
61,36,5
61,4,5
62,51,5
62,61,5
64,18,5
66,23,5
66,47,5
66,48,5
5,9,1
28,5,1
30,5,1
5,51,1
30,9,1
28,30,1
28,51,1
30,51,1
11,9,1
19,9,1
11,19,1
11,51,1
10,51,1
4,9,1
4,5,1
10,9,1
18,66,1
28,35,1
28,47,1
28,66,1
32,66,1
35,66,1
17,8,1
28,8,1
33,8,1
34,8,1
47,8,1
51,8,1
58,8,1
60,8,1
17,34,1
17,51,1
17,60,1
28,60,1
33,47,1
33,51,1
33,58,1
33,60,1
34,47,1
34,51,1
34,60,1
47,51,1
47,58,1
47,60,1
51,58,1
51,60,1
58,60,1
29,51,1
0,9,1
0,28,1
0,30,1
0,33,1
0,51,1
30,33,1
10,37,1
37,51,1
0,19,1
49,51,1
16,4,1
16,9,1
16,51,1
50,51,1
22,9,1
18,41,1
0,10,1
0,34,1
0,60,1
10,28,1
10,34,1
10,49,1
19,34,1
19,49,1
19,60,1
28,49,1
33,49,1
34,49,1
49,60,1
28,4,1
30,4,1
34,4,1
4,58,1
58,9,1
60,9,1
30,34,1
30,58,1
30,60,1
10,5,1
20,4,1
4,50,1
11,5,1
20,5,1
29,5,1
5,50,1
11,20,1
11,22,1
11,29,1
11,30,1
11,50,1
11,59,1
20,22,1
20,29,1
20,30,1
20,50,1
20,51,1
20,59,1
22,30,1
22,50,1
22,59,1
29,30,1
29,50,1
29,59,1
30,59,1
50,59,1
51,59,1
43,5,1
4,8,1
22,8,1
10,22,1
22,28,1
22,33,1
22,60,1
0,4,1
0,8,1
0,17,1
0,59,1
0,61,1
17,4,1
8,9,1
59,8,1
61,8,1
17,9,1
61,9,1
17,59,1
17,61,1
28,61,1
33,59,1
34,59,1
34,61,1
51,61,1
59,61,1
22,58,1
39,64,1
18,51,1
34,5,1
11,28,1
11,34,1
19,5,1
24,5,1
29,34,1
18,19,1
17,29,1
17,20,1
11,8,1
19,8,1
19,31,1
19,36,1
19,59,1
31,36,1
31,59,1
36,59,1
36,55,1
31,57,1
17,30,1
11,39,1
17,39,1
37,5,1
19,30,1
19,27,1
18,5,1
47,5,1
5,60,1
11,60,1
11,13,1
11,47,1
13,17,1
13,19,1
13,28,1
13,32,1
13,33,1
13,34,1
14,33,1
14,34,1
36,38,1
20,9,1
19,29,1
19,64,1
47,64,1
0,32,1
32,9,1
49,9,1
10,32,1
32,49,1
32,51,1
32,60,1
36,46,1
10,30,1
1,47,1
10,20,1
19,20,1
20,28,1
29,9,1
20,32,1
20,33,1
20,34,1
20,58,1
28,29,1
29,33,1
29,58,1
28,39,1
32,39,1
33,39,1
34,39,1
39,47,1
29,39,1
24,51,1
17,41,1
41,58,1
37,8,1
43,51,1
30,47,1
10,53,1
51,53,1
36,51,1
38,51,1
33,40,1
40,57,1
57,59,1
42,5,1
10,42,1
10,59,1
42,59,1
36,57,1
38,57,1
10,18,1
10,41,1
41,50,1
31,51,1
36,5,1
36,40,1
35,49,1
19,55,1
19,41,1
38,5,1
2,34,1
2,51,1
27,28,1
27,33,1
27,47,1
18,3,1
3,35,1
3,56,1
3,66,1
18,27,1
18,29,1
27,29,1
27,35,1
27,56,1
27,66,1
29,47,1
29,56,1
29,66,1
35,56,1
47,56,1
56,66,1
43,8,1
28,41,1
26,39,1
26,28,1
17,31,1
17,64,1
31,64,1
18,21,1
36,42,1
24,42,1
42,57,1
26,33,1
26,64,1
33,64,1
30,41,1
20,47,1
2,3,1
2,26,1
26,3,1
19,26,1
